custom_id,Index,Character,Pinyin,Radical,Strokes,Structure,Sentence,Words
0066,0066,鹅,"[""é""]",鸟,12,左右结构,癞蛤蟆想吃天鹅肉。,"[""天鹅"", ""鹅毛"", ""鹅掌"", ""企鹅"", ""鹅毛大雪"", ""鸭步"", ""鹅行""]"
0067,0067,条,"[""tiáo""]",木 (dictionary),7,上下结构,课堂上有人上课传纸条。,"[""条件"", ""纸条"", ""条理"", ""金条"", ""借条"", ""条款"", ""条纹"", ""有条不紊"", ""井井有条""]"
0068,0068,雨,"[""yǔ""]",雨,8,独体结构,早上就开始下雨了。,"[""下雨"", ""雨花"", ""雨滴"", ""雨点"", ""雨伞"", ""雨季"", ""雨雪"", ""雨露"", ""倾盆大雨"", ""雨过天晴""]"
0069,0069,天,"[""tiān""]",一,4,独体结构,今天天气真好。,"[""天空"", ""天上"", ""天堂"", ""天台"", ""天气"", ""天子"", ""天真"", ""天坑"", ""天马行空"", ""天长地久""]"
0070,0070,桥,"[""qiáo""]",木,10,左右结构,这座桥已经成危桥了。,"[""桥墩"", ""桥上"", ""桥下"", ""桥梁"", ""桥边"", ""桥头"", ""过河"", ""折桥"", ""修桥补路""]"
0071,0071,一,"[""yī""]",一,1,独体结构,我有一个可爱调皮的弟弟。,"[""一次"", ""一天"", ""一块"", ""一起"", ""一般"", ""一路"", ""一下"", ""一些"", ""一本正经"", ""一马当先""]"
0072,0072,去,"[""qù""]",厶,5,上下结构,过几天全家去旅游。,"[""出去"", ""回去"", ""失去"", ""逝去"", ""去向"", ""去玩"", ""去留"", ""辞去"", ""大势已去"", ""已去"", ""来龙去脉""]"
0073,0073,二,"[""èr""]",二 (dictionary),2,独体结构,它就是独一无二的。,"[""小二"", ""二哥"", ""二月"", ""二声"", ""三心二意"", ""二话不说""]"
0074,0074,三,"[""sān""]",一,3,独体结构,认识您真是三生有幸。,"[""三甲"", ""三楼"", ""三千"", ""三块"", ""三番五次"", ""三长两短""]"
0075,0075,里,"[""lǐ""]",里,7,独体结构,这里面有好多脏东西啊。,"[""里面"", ""里边"", ""里屋"", ""里程"", ""里脊"", ""家里"", ""表里不一"", ""里应外合""]"
0076,0076,四,"[""sì""]",口,5,独体结构,今天屋外这四周都好热闹啊。,"[""四川"", ""四周"", ""四季"", ""四处"", ""四季发财"", ""四通八达""]"
0077,0077,五,"[""wǔ""]",一,4,独体结构,秋天的颜色是五颜六色。,"[""五脏"", ""五代"", ""五块"", ""五色"", ""五湖四海"", ""五体投地""]"
0078,0078,六,"[""liù""]",亠 (dictionary),4,独体结构,它们六个一群，三个一伙。,"[""六神无主"", ""六亲不认"", ""七情六欲"", ""六根清静""]"
0079,0079,七,"[""qī""]",一,2,独体结构,他的床上总是乱七八糟的。,"[""七上八下"", ""乱七八糟"", ""七老八十"", ""七情六欲""]"
0080,0080,八,"[""bā""]",八,2,独体结构,桌子上横七竖八的摆着几本书。,"[""八月"", ""八哥"", ""八块"", ""八两"", ""半斤八两"", ""才高八斗""]"
0081,0081,九,"[""jiǔ""]",乙 (dictionary),2,独体结构,这点东西对它们来说，不过九牛一毛。,"[""牌九"", ""九霄"", ""九阳"", ""九州"", ""九牛一毛"", ""九霄云外""]"
0082,0082,十,"[""shí""]",十,2,独体结构,他对这件不幸的事感到十分难过。,"[""十全"", ""十成"", ""十秒"", ""十块"", ""十全十美"", ""十拿九稳""]"
0083,0083,口,"[""kǒu""]",口,3,独体结构,他还没开口，我就知道他要说什么。,"[""口齿"", ""口腔"", ""口才"", ""门口"", ""口号"", ""口诀"", ""口感"", ""口味"", ""心直"", ""口快"", ""口干舌燥""]"
0084,0084,耳,"[""ěr""]",耳,6,独体结构,最近新买了一个耳机。,"[""耳朵"", ""耳机"", ""耳聋"", ""耳光"", ""耳目一新"", ""交头接耳""]"
0085,0085,目,"[""mù""]",目,5,独体结构,他真是一个目光短浅的家伙。,"[""目光"", ""目标"", ""目录"", ""目的"", ""目光短浅"", ""目中无人"", ""目瞪口呆"", ""历历在目""]"
0086,0086,羊,"[""yáng""]",羊,6,独体结构,那个山坡上有好多山羊啊。,"[""山羊"", ""羊圈"", ""羊毛"", ""羊皮"", ""放羊"", ""羊头"", ""羊肉"", ""羊绒"", ""亡羊补牢"", ""羊肠小道""]"
0087,0087,鸟,"[""niǎo""]",鸟,5,独体结构,天空中的鸟儿飞来飞去。,"[""鸟巢"", ""鸟笼"", ""鸟类"", ""飞鸟"", ""鸟群"", ""鸟蛋"", ""鸟窝"", ""鸟语花香"", ""惊弓之鸟""]"
0088,0088,兔,"[""tù""]",免,8,上下结构,今天学习了龟兔赛跑的故事。,"[""兔子"", ""白兔"", ""玉兔"", ""野兔"", ""兔死狗烹"", ""守株待兔""]"
0089,0089,日,"[""rì""]",日,4,独体结构,今天大家一起去看日出。,"[""日落"", ""日期"", ""日久天长"", ""生日"", ""日历"", ""日常"", ""日子"", ""日程"", ""日积月累""]"
0090,0090,月,"[""yuè""]",月,4,独体结构,八月十五的月亮又大又圆。,"[""月亮"", ""月光"", ""月球"", ""月色"", ""月初"", ""月底"", ""月份"", ""月饼"", ""月黑风高"", ""日月可鉴""]"
0091,0091,火,"[""huǒ""]",火,4,独体结构,我第一次看到他发这么大火。,"[""火光"", ""火焰"", ""火车"", ""火柴"", ""火箭"", ""火锅"", ""火山"", ""火腿"", ""十万火急"", ""火光四溅""]"
0092,0092,木,"[""mù""]",木,4,独体结构,古代的房屋基本都是木头建的。,"[""木头"", ""木桶"", ""木炭"", ""木材"", ""木马"", ""木匠"", ""树木"", ""草木皆兵"", ""呆若木鸡""]"
0093,0093,禾,"[""hé""]",禾,5,独体结构,田野里的禾苗都蔫了。,"[""禾苗"", ""禾虫"", ""禾谷"", ""禾米""]"
0094,0094,竹,"[""zhú""]",竹,6,左右结构,山那边有一大片竹林。,"[""竹子"", ""竹叶"", ""竹林"", ""竹笋"", ""竹筒"", ""竹笛"", ""竹简"", ""毛竹"", ""青梅竹马"", ""胸有成竹""]"
0095,0095,沙,"[""shā""]",氵,7,左右结构,他们都在沙滩上玩耍去了。,"[""沙滩"", ""沙坑"", ""沙粒"", ""沙子"", ""沙漠"", ""沙砾"", ""风沙"", ""沙尘"", ""一盘散沙"", ""飞沙走石""]"
0096,0096,发,"[""fā"", ""fà""]",又,5,半包围结构,今天发生了不愉快的事情。,"[""发烧"", ""发声"", ""发展"", ""发扬"", ""发生"", ""发现"", ""发觉"", ""令人发指"", ""白发"", ""苍苍""]"
0097,0097,报,"[""bào""]",扌,7,左右结构,做人不能忘恩负义，要懂得知恩图报。,"[""报答"", ""报纸"", ""报喜"", ""报案"", ""报告"", ""报表"", ""报应"", ""海报"", ""精忠报国"", ""恩将仇报""]"
0098,0098,纸,"[""zhǐ""]",纟,7,左右结构,白纸黑字写得清清楚楚。,"[""纸张"", ""白纸"", ""纸币"", ""纸浆"", ""图纸"", ""手纸"", ""折纸"", ""彩纸"", ""白纸黑字"", ""纸上谈兵""]"
0099,0099,台,"[""tái""]",口 (dictionary),5,上下结构,他的书桌上放着一盏台灯。,"[""台词"", ""台北"", ""台湾"", ""台灯"", ""台球"", ""台风"", ""台历"", ""台阶"", ""广播电台"", ""亭台楼阁"", ""天台山""]"
0100,0100,灯,"[""dēng""]",火,6,左右结构,远处还有点点灯光在闪烁。,"[""电灯"", ""路灯"", ""台灯"", ""灯泡"", ""油灯"", ""灯管"", ""灯光"", ""油尽灯枯"", ""灯红酒绿""]"
0101,0101,电,"[""diàn""]",电 (dictionary),5,独体结构,今天我们一起去看电影。,"[""电源"", ""电影"", ""电表"", ""电池"", ""电话"", ""电量"", ""电脑"", ""电视"", ""电闪雷鸣"", ""雷电交加""]"
0102,0102,视,"[""shì""]",礻,8,左右结构,妈妈每天都会追她喜欢看的电视剧。,"[""视野"", ""视力"", ""视觉"", ""电视"", ""注视"", ""无视"", ""视听"", ""视察"", ""视而不见"", ""视死如归""]"
0103,0103,晚,"[""wǎn""]",日,11,左右结构,今天晚上的月亮好圆啊。,"[""晚上"", ""晚安"", ""晚归"", ""晚年"", ""晚辈"", ""晚餐"", ""晚饭"", ""晚会"", ""相见恨晚""]"
0104,0104,上,"[""shàng""]",一 (dictionary),3,独体结构,马上就该我上场了。,"[""上班"", ""上升"", ""上传"", ""上课"", ""上次"", ""上去"", ""上周"", ""上衣"", ""自上而下"", ""上下打量""]"
0105,0105,送,"[""sòng""]",辶,9,半包围结构,妈妈每天送我去上学。,"[""送别"", ""送给"", ""送货"", ""送客"", ""送行"", ""送钱"", ""送到"", ""送礼"", ""雪中送炭"", ""暗送秋波""]"
0106,0106,果,"[""guǒ""]",木,8,独体结构,早上喝一杯果汁。,"[""苹果"", ""水果"", ""果蔬"", ""果汁"", ""果酱"", ""花果"", ""果核"", ""果皮"", ""开花结果"", ""果不其然""]"
0107,0107,笑,"[""xiào""]",竹,10,上下结构,我们总是一起开玩笑。,"[""笑话"", ""笑声"", ""笑脸"", ""玩笑"", ""笑出"", ""笑柄"", ""笑料"", ""笑纳"", ""回眸一笑"", ""笑口常开""]"
0108,0108,也,"[""yě""]",乙 (dictionary),3,独体结构,这些事也是他们做的。,"[""也许"", ""也罢"", ""也是"", ""也好"", ""也可"", ""也在"", ""也去"", ""也行"", ""空空如也"", ""之乎者也""]"
0109,0109,打,"[""dǎ""]",扌,5,左右结构,爸爸告诉我说打架是不好的行为。,"[""打开"", ""打扫"", ""打工"", ""打人"", ""打架"", ""打车"", ""打假"", ""打算"", ""趁热打铁"", ""上下打量"", ""小苏打""]"
0110,0110,球,"[""qiú""]",王,11,左右结构,我正兴致勃勃地看足球比赛。,"[""足球"", ""篮球"", ""排球"", ""台球"", ""打球"", ""传球"", ""球员"", ""球衣""]"
0111,0111,拔,"[""bá""]",扌,8,左右结构,他们今天参加了拔河比赛。,"[""拔河"", ""拔草"", ""拔尖"", ""拔刀"", ""提拔"", ""海拔"", ""选拔"", ""挺拔"", ""拔苗助长"", ""坚韧不拔""]"
0112,0112,拍,"[""pāi""]",扌,8,左右结构,我们大家一起拍张照吧。,"[""拍照"", ""拍打"", ""拍手"", ""拍戏"", ""拍卖"", ""拍客"", ""拍板"", ""拍手叫好"", ""一拍即合""]"
0113,0113,跳,"[""tiào""]",足,13,左右结构,大家一起欢快的跳舞。,"[""跳高"", ""跳水"", ""跳伞"", ""跳绳"", ""跳舞"", ""跳槽"", ""跳跃"", ""跳开"", ""上窜下跳"", ""鸡飞狗跳""]"
0114,0114,高,"[""gāo""]",高,10,上中下结构,触碰了高压线有致命的危险。,"[""高中"", ""高就"", ""高看"", ""高梁"", ""高温"", ""高清"", ""崇高"", ""高寿"", ""兴高采烈"", ""德高望重""]"
0115,0115,跑,"[""pǎo""]",足,12,左右结构,每天早上都要跑步锻炼。,"[""跑步"", ""跑车"", ""跑道"", ""奔跑"", ""逃跑"", ""起跑"", ""长跑"", ""短跑"", ""跑马观花"", ""东奔西跑""]"
0116,0116,步,"[""bù""]",止,7,上下结构,每天早上跑步运动一下。,"[""步行"", ""跑步"", ""徒步"", ""步骤"", ""初步"", ""进步"", ""步兵"", ""步伐"", ""步步为营"", ""步步高升""]"
0117,0117,足,"[""zú""]",足,7,上下结构,他们唠唠叨叨足有一个小时。,"[""足球"", ""足迹"", ""足够"", ""足以"", ""足可"", ""足月"", ""失足"", ""情同手足"", ""不足挂齿""]"
0118,0118,响,"[""xiǎng""]",口,9,左右结构,电脑发出了一声响声。,"[""响声"", ""影响"", ""响亮"", ""响应"", ""音响"", ""响马"", ""不同凡响"", ""不声不响""]"
0119,0119,课,"[""kè""]",讠,10,左右结构,我从来没有逃过课。,"[""课堂"", ""课外"", ""上课"", ""课本"", ""课时"", ""课间"", ""旷课"", ""课桌""]"
0120,0120,真,"[""zhēn""]",目 (dictionary),10,上下结构,必须过真实的生活，过有价值的生活。,"[""真假"", ""真迹"", ""真好"", ""真心"", ""认真"", ""真诚"", ""真空"", ""真谛"", ""真材实料"", ""千真万确""]"
0121,0121,身,"[""shēn""]",身,7,独体结构,今天我忘记带身份证了。,"[""身体"", ""身上"", ""身材"", ""身份"", ""身边"", ""身板"", ""身份不明"", ""身不由己""]"
0122,0122,体,"[""tǐ""]",亻,7,左右结构,我的体能严重下降了。,"[""体重"", ""体操"", ""体温"", ""体质"", ""体育"", ""字体"", ""文体"", ""体魄"", ""遍体鳞伤"", ""体无完肤""]"
0123,0123,远,"[""yuǎn""]",辶,7,半包围结构,我们要做好长远的打算。,"[""远处"", ""远方"", ""远去"", ""远程"", ""永远"", ""疏远"", ""长远"", ""离远"", ""目光远大"", ""山高水远""]"
0124,0124,色,"[""sè""]",色,6,上下结构,花园里长着五颜六色的花。,"[""颜色"", ""色彩"", ""气色"", ""脸色"", ""成色"", ""蓝色"", ""音色"", ""姿色"", ""五颜六色"", ""察言观色""]"
0125,0125,近,"[""jìn""]",辶,7,半包围结构,我家离学校很近的。,"[""靠近"", ""接近"", ""近路"", ""附近"", ""近代"", ""近期"", ""亲近"", ""近况"", ""急功近利"", ""舍近求远""]"
0126,0126,听,"[""tīng""]",口,7,左右结构,上课的时候一定要认真听讲。,"[""听课"", ""听说"", ""听讲"", ""听话"", ""聆听"", ""听写"", ""听歌"", ""听清"", ""洗耳恭听"", ""言听计从""]"
